number,smiles
1,NC1=CC=C(OC2=CC=C(N)C=C2C(F)(F)F)C=C1
2,CC1=CC(OC2=CC=C(N)C=C2)=CC=C1N
3,NC1=CC=C(C(C)=C1)OC2=CC=C(C=C2)N
4,NC1=CC=C(C=C1)OC2=CC=C(C=C2)N
4,NC1=CC=C(C=C1)OC2=CC=C(C=C2)N
5,NC1=CC=C(C2=CC(C=C3)=C(C=C2)C=C3C4=CC=C(N)C=C4)C=C1
6,NC1=CC(N)=CC(C(NC2=CC=C(C(C3=CNC4=C3C=CC=C4)C5=CNC6=C5C=CC=C6)C=C2)=O)=C1
7,NC1=CC(C(F)(F)F)=C(OC2=CC=C(C3=CC(C4=CC=C(OC5=C(C(F)(F)F)C=C(N)C=C5)C=C4)=CC(C6=CC=C(OC7=CC=C(N)C=C7C(F)(F)F)C=C6)=C3)C=C2)C=C1
8,NC1=CC=C(N(C2=CC=C(OC3=C(C)C=C(C)C=C3C)C=C2)C4=CC=C(N)C=C4)C=C1
9,NC1=CC(N)=CC(C(NCC2=CC=NC=C2)=O)=C1
10,NC1=CC(C#N)=C(OC2=CC=C(C3=CC=C(OC4=C(C#N)C=C(N)C=C4)C=C3)C=C2)C=C1
11,[H]C1=C(OC2=CC=C(C3=CC=C(OC4=C([H])C=C(N)C=C4)C=C3)C=C2)C=CC(N)=C1
12,NC1=CC=C(OC2=C(C)C=C(C)C=C2C)C(N)=C1
13,NC(C=C1C(F)(F)F)=CC=C1C2=CC=C(N)C=C2C(F)(F)F
14,NC1=CC=C(N)C=C1
14,NC1=CC=C(N)C=C1
16,NC1=CC=CC(OC2=CC=C(C3=CC=C(OC4=CC=CC(N)=C4)C=C3)C=C2)=C1
17,NC1=CC=CC(OC2=CC=C(C(C3=CC=CC(C(C4=CC=C(OC5=CC=CC(N)=C5)C=C4)=O)=C3)=O)C=C2)=C1
18,NC1=CC=C(OC2=CC=C(C(C)(C3=CC=C(OC4=CC=C(N)C=C4)C=C3)C)C=C2)C=C1
18,NC1=CC=C(OC2=CC=C(C(C)(C3=CC=C(OC4=CC=C(N)C=C4)C=C3)C)C=C2)C=C1
19,NC1=CC=C(OC2=CC=CC(OC3=CC=C(N)C=C3)=C2)C=C1
20,NC1=CC=C(OC2=CC=C(OC3=CC=C(N)C=C3)C=C2)C=C1
22,NC(C(C(C)C)=C1)=CC=C1C(C2=CC=C(C3=CC=CC=C3)C=C2)C4=CC(C(C)C)=C(N)C=C4
23,NC1=CN=C(OC2=CC=C(C(O)CN)C=C2)C=C1
26,NC1=CN=C(C2=CC=C(N)C=C2)C=C1
30,NC1(C[C@@H]2C3)C[C@]3(N)C[C@@H](C2)C1
