number,name,smiles,a2245273601,a4071909377,a1459140616,a3341916169,a3001458698,a1508020232,a370718733,a1040949262,a2966050835,a1384316948,a1558261781,a2239639576,a2458968089,a27979804,a1730555933,a350558246,a2017597479,a1063794729,a4109680682,a1995458611,a68675643,a1446633534,a2312669254,a2439737417,a3911649358,a1214617679,a2245384272,a2620926036,a2698059862,a2917980252,a2809628764,a589930590,a4033380444,a3962640484,a910450790,a922200166,a1839403113,a3957411950,a2245277810,a451448947,a4078616692,a1026928756,a1304041590,a2720313463,a2956998777,a296523902,a422735999,a3873253504,a65036417,a2533439618,a2889224323,a91408512,a2332498053,a3068360839,a533332104,a478150792,a2898587788,a498385037,a2846046351,a4240709783,a3749861528,a2191681690,a2599598242,a174348455,a1352167592,a1022423209,a1295544490,a3756261549,a1366143150,a1992087727,a2734942384,a907194548,a1538830519,a3918336191,a2024294592,a668520641,a269959362,a251220164,a717512901,a3025629386,a3157481675,a3353919692,a3422523596,a907614412,a243118284,a3130706129,a2501396691,a3727960280,a3671935195,a4234240219,a2459836637,a1371750623,a997097697,a471486690,a1542633699,a977565923,a397170918,a3491109101,a3007422704,a1050073333,a24262903,a225202425,a3631032570,a3754877180,a3908647167,a1751929091,a305828102,a2083590407,a763762952,a2856245513,a3209892106,a1282128136,a2403442956,a709435661,a1265174797,a831131919,a3464558864,a894972178,a208285974,a1569573143,a1132083480,a1098094874,a3537119515,a2596284703,a1671432480,a3615562017,a938996006,a3664660774,a1615321385,a3743793454,a3563645233,a3205972274,a1429883190,a4129558839,a4113807672,a10565946,a2223687999,a3162837314,a263215426,a1706946886,a377919814,a507384136,a280897865,a493191496,a1544032587,a3560520006,a1136130381,a2519390547,a3439239510,a3786776919,a2917984598,a2393016670,a999334238,a3982076256,a714711401,a173298027,a231600494,a613527925,a4143735160,a3797490040,a3806466426,a2041434490,a2962510202,a267870586,a1343371647,a1124927872,a122286463,a3880022399,a2763854213,a937699718,a1222597000,a3537123720,a1344244105,a1668647312,a3222770065,a94472594,a291625364,a3712176536,a472281497,a523063712,a560867745,a3909974435,a1579657639,a2651257257,a474896810,a1563568563,a13750709,a1077475773,a1982474688,a3339880897,a1303327177,a95060427,a402686416,a532888018,a304329171,a2072496597,a364057049,a2784256475,a2137969116,a3276315103,a3816921572,a1054767590,a2825253352,a1671770604,a2113520109,a2254979565,a1295649264,a1186671090,a1490397683,a2196025845,a92912123,a4189358590,a3536476671,a2253474305,a3599491590,a1534734860,a940792333,a617798156,a2647091732,a2918201879,a3319978521,a1138815524,a3221412389,a4230337064,a1049690665,a2154975788,a124017197,a402727472,a390738481,a4256524850,a3436763699,a3635391028,a4101595700,a2637724221,a1683493442,a4228028995,a740717125,a839602758,a1373829704,a2712973900,a456077901,a3956419148,a4037837392,a2934719058,a548743766,a2126281302,a440851034,a522068575,a3988927079,a890552935,a3454931564,a1110792813,a194638448,a720822897,a1108886129,a2605025906,a1905271413,a2686794358,a1376350843,a2547260028,a1630528126,a491211392,a2054161029,a1784881797,a2084364935,a1274940040,a864942730,a3189457552,a3945171605,a319552149,a689351327,a1999690401,a2245900962,a3764925095,a1549284008,a516041383,a303825580,a378841773,a2945796783,a2246703798,a864674487,a3337745083,a883194565,a768649927,a2994514631,a3884454603,a2944555726,a3669805776,a1150649048,a2740839128,a69001947,a2107452124,a3746206428,a3159698139,a2984966880,a3138468577,a958350052,a3859864295,a4178270956,a3488664301,a3359247087,a1432185585,a2858676977,a4146451193,a2002082559,a3431531268,a1903577861,a2407873292,a1179728654,a3194239760,a644322065,a3163276050,a229241619,a4011293459,a1654655765,a2551483158,a4268956439,a3730836244,a1042193178,a2023187227,a1477870366,a3194612514,a2297887526,a2246699815,a1957993254,a1312131881,a864662311,a2409775914,a1078276907,a2024004397,a2793650987,a2136486702,a3394546481,a1102433073,a1887826737,a2842710844,a4292387645,a305441598,a392001,a53459778,a805268291,a980020035,a3607907142,a2560252747,a786191179,a1976759120,a4124406610,a2278198104,a3619808088,a2357128026,a4057840475,a4105667421,a4030382942,a2322471775,a3068781411,a3712404325,a4174220138,a994485099,a2895115118,a1007283054,a848128881,a4256002933,a834620277,a3975295864,a907082618,a1722801019,a4216335232,a1068200837,a778003336,a4158944142,a537940881,a1835135892,a3355136921,a3342869403,a3292898205,a2968968094,a1695226791,a60130217,a258497450,a2953044910,a1267407792,a138171313,a427867059,a1382200245,a2185384887,a3294467004,a913286077,a2796841917,a2031025087,a166544320,a2905822145,a1390412742,a701576135,a908571593,a1369689037,a2966039504,a64070612,a2592785365,a1466012631,a1323467736,a1085527001,a2784945118,a465462242,a3994921955,a3603907557,a638206951,a1348563946,a1268982764,a2099987442,a1581691898,a2976033787,a2832641018,a2841547777,a354862083,a3901152262,a526625799,a559688712,a3692055567,a560501777,a3120784405,a2269467669,a2073422871,a303402010,a636990493,a3713799198,a2246728737,a2516648995,a2976816164,a1208423463,a350989353,a1182622762,a2654741547,a2765300781,a380320814,a208704559,a333653038,a2266367025,a819186736,a3635706931,a3507326004,a353395765,a2500752438,a2774459449,a3203925050,a3090426939,a1064408124,a3976623167,a98513984,a1449131080,a3182824521,a3300691019,a4200084557,a2437495888,a3757038672,a3240887382,a3106149465,a2132511834,a438260828,a236622940,a1078363230,a1562915937,a1833028715,a1516020844,a551287920,a3129492592,a3081663602,a161963127,a2290424954,a1422193787,a1660437628,a388281471,a847961216,a1468486789,a718640262,a3029550214,a2353112200,a3815322761,a1827921032,a4023960709,a682667148,a2919830669,a3458774156,a1543552144,a3119813778,a847957139,a2025751704,a2802148507,a3813012638,a2520470695,a968451241,a1575173289,a3999906991,a526603445,a1717044408,a1422261436,a2255082686,a4203617481,a2120201425,a2127647960,a3624155,a254143711,a3492211936,a628810978,a1205427427,a3372254436,a2415045862,a1173193959,a792968423,a100148457,a3631977706,a476060908,a2938219757,a4036949241,a1466170618,a251184381,a1243327745,a1369926916,a893306116,a1988986122,a517457164,a972424462,a3395374354,a497870099,a3574664470,a3156923674,a936174874,a1858577693,a1799214367,a354235680,a1879276832,a2826263842,a2197314850,a3488480553,a2059877673,a2117068077,a3766179117,a284677426,a3202456884,a2542632244,a2010002740,a1115690295,a994237755,a902352188,a3946546498,a3322645827,a125596996,a2387049798,a1753367884,a3983062349,a946728269,a2929966416,a2179261776,a2782530898,a3579962709,a2246997334,a403572057,a1503972698,a2550793567,a2993749344,a625784162,a3217380708,a1447980388,a847433064,a2994748777,a4164236649,a3124581743,a3273594224,a4128177531,a2652626303,a2014543234,a1207774595,a3732004230,a2676798855,a3638183303,a3933537673,a2356489609,a169809287,a2455903633,a294686098,a1377095060,a3766359446,a992462230,a1856075173,a2999514534,a2571355557,a757300649,a1100037548,a485463469,a3814888878,a2115476908,a868109744,a1083852209,a519101869,a3059129780,a274582965,a483329469,a2903963072,a1630260676,a2228063684,a3504917958,a1190219209,a2987687375,a3400775119,a3731459536,a190490072,a773838300,a3542222300,a1050207714,a2643086820,a2150151661,a1962018286,a2709179886,a1311958515,a1278129653,a1240448503,a2747850234,a966944251,a3777168895,a4153730561,a2185516551,a2877218312,a1001883149,a3529244174,a3857751567,a2253803026,a4060386834,a767854107,a3254486562,a3984860707,a37936676,a1313967653,a1272192549,a670408229,a2462299689,a1248169515,a642367021,a3466130990,a2086536754,a911210038,a4178935354,a3691277886,a402480703,a1050388032,a26234434,a3118255683,a1813087811,a2640694853,a3429725765,a1340132937,a3273018953,a423636557,a781696592,a2459741777,a3568551506,a1411350099,a2276828760,a2990601819,a2771867232,a3511252578,a972639849,a3951738474,a787555945,a3450625642,a3696402029,a3262918250,a1829451379,a2775291508,a2901562997,a2295371384,a3309989496,a1302763132,a3891283581,a2848431744,a2649902721,a109981316,a1542383237,a3291149959,a2509211297,a688750242,a2685847202,a1417236129,a595345057,a1156439722,a183428780,a689061557,a3753903801,a422715066,a2019555004,a1054928573,a2962024129,a4151031491,a2296565457,a3980805843,a3908918996,a2409758421,a951226070,a4121755354,a810948314,a3008159456,a3656339170,a4114405092,a1228080869,a1960709862,a1646253800,a3566014185,a2892519151,a3684013815,a443088640,a473978627,a1554636550,a418275082,a2125504268,a2959308556,a2909970191,a1778642706,a144862996,a1790668568,a3207567135,a3377977119,a3564031777,a1421268775,a1323888424,a3368775468,a3276879662,a1733062447,a1857396528,a100740913,a787341104,a2283976499,a2846023476,a3471652661,a1961848637,a2360741695,a1101907775,a2985828163,a1236995907,a1913726790,a3776905034,a3218693969,a2113087316,a2752034647,a3627427675,a3291950939,a622358368,a323110755,a1489995622,a2006773609,a270794601,a1448793965,a433041264,a782176117,a3352778614,a1510461303,a3591133051,a1510328189,a1785683843,a4276070277,a2585036679,a882399112,a1944786823,a1082953610,a1981642635,a2138195853,a602947472,a2331740049,a1245738898,a3248686995,a3190269844,a2123880345,a742000539,a1080620960,a2559453089,a2495666090,a807157675,a669222828,a1686802350,a1135286194,a109461427,a1827350452,a1922070456,a1556668346,a2238101436,a3316176829,a3981762496,a128522177,a4048848834,a2595241924,a4245243850,a724846542,a645564367,a4271337426,a2097965011,a3458758613,a3512823771,a2991151069,a1671935972,a2893576171,a3581566955,a1604491248,a3830513649,a1323106289,a3630987249,a3011598321,a2799808505,a3605139450
1,m-3F-ODA,NC1=CC=C(OC2=CC=C(N)C=C2C(F)(F)F)C=C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,o-M-ODA,CC1=CC(OC2=CC=C(N)C=C2)=CC=C1N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,m-M-ODA,NC1=CC=C(C(C)=C1)OC2=CC=C(C=C2)N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ODA,NC1=CC=C(C=C1)OC2=CC=C(C=C2)N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"4,4'-ODA",NC1=CC=C(C=C1)OC2=CC=C(C=C2)N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
