iter	RMSE
0	49.92726179
1	49.38440604
2	48.76326067
3	48.04608774
4	47.51776913
5	47.01689383
6	46.48154628
7	45.92955184
8	45.46198515
9	45.02250472
10	44.45698834
11	43.94326248
12	43.28353966
13	42.95289891
14	42.37005877
15	41.90431437
16	41.4878224
17	40.90634095
18	40.59434699
19	40.0752491
20	39.74115593
21	39.24774861
22	38.77012741
23	38.32597524
24	37.99907946
25	37.60198963
26	37.17221651
27	36.80262853
28	36.47885172
29	36.23641979
30	35.9527839
31	35.62865773
32	35.23090311
33	34.82044241
34	34.47367728
35	34.10564305
36	33.7832774
37	33.45822207
38	33.16785066
39	32.96530792
40	32.66266341
41	32.34088262
42	32.03571106
43	31.76930371
44	31.5417393
45	31.23593049
46	30.88474641
47	30.62384363
48	30.39717231
49	30.19744627
50	29.87829684
51	29.72091705
52	29.56525308
53	29.43004761
54	29.17129263
55	29.01210123
56	28.88790278
57	28.72316857
58	28.57109914
59	28.40839186
60	28.21802157
61	28.0421998
62	27.85266345
63	27.72267628
64	27.55932352
65	27.3878627
66	27.21980797
67	27.02412679
68	26.92153331
69	26.78833052
70	26.68574748
71	26.62083948
72	26.51179379
73	26.38775813
74	26.3015121
75	26.20418474
76	26.12412401
77	25.94966431
78	25.85186646
79	25.75737426
80	25.54878014
81	25.3843247
82	25.25169233
83	25.16998632
84	25.04558485
85	24.98269103
86	24.90672908
87	24.82466512
88	24.7396887
89	24.55670948
90	24.49395217
91	24.30042921
92	24.26132548
93	24.17627354
94	24.05004379
95	23.91802766
96	23.76922557
97	23.59075637
98	23.53793396
99	23.4023806
100	23.36667447
101	23.3214099
102	23.21151699
103	23.16351404
104	23.1280802
105	23.023544
106	22.96945112
107	22.85749275
108	22.72433527
109	22.58836615
110	22.49210156
111	22.42950858
112	22.31008553
113	22.16784024
114	22.11359164
115	22.04534166
116	21.94561926
117	21.8076681
118	21.69504942
119	21.5640132
120	21.48270654
121	21.45465315
122	21.42274242
123	21.34069438
124	21.25902652
125	21.23439817
126	21.17144815
127	21.12744674
128	21.07333187
129	20.98907678
130	20.88078002
131	20.83805687
132	20.81715951
133	20.73798466
134	20.66638015
135	20.58573174
136	20.55090881
137	20.50808625
138	20.4731427
139	20.42464574
140	20.37481483
141	20.30229644
142	20.23746259
143	20.13289287
144	20.05917595
145	20.01394976
146	19.98474431
147	19.96316329
148	19.90727263
149	19.85274196
150	19.78587621
151	19.74916908
152	19.72442309
153	19.67373412
154	19.66404593
155	19.63670413
156	19.54117787
157	19.51070811
158	19.40110122
159	19.32928163
160	19.30137476
161	19.27967794
162	19.24174574
163	19.17443058
164	19.11647815
165	19.03753431
166	19.00262241
167	18.95036075
168	18.88322285
169	18.84257533
170	18.76183318
171	18.70839274
172	18.65439889
173	18.62663791
174	18.60365524
175	18.58533743
176	18.52173129
177	18.45063544
178	18.379783
179	18.36591496
180	18.335537
181	18.26637806
182	18.20820917
183	18.16481635
184	18.12604324
185	18.0685767
186	18.04388454
187	17.99898374
188	17.96451441
189	17.95379692
190	17.88481471
191	17.81537818
192	17.75116724
193	17.74039714
194	17.72194846
195	17.65669282
196	17.62636992
197	17.5883297
198	17.55394713
199	17.49789179
200	17.45156413
201	17.43853257
202	17.39731412
203	17.3568036
204	17.34286587
205	17.27967414
206	17.22804073
207	17.21854777
208	17.18351938
209	17.1632577
210	17.12581968
211	17.08332183
212	17.06808748
213	17.02301694
214	16.99003149
215	16.95492753
216	16.91750878
217	16.88029062
218	16.83187773
219	16.81669555
220	16.78699931
221	16.73245978
222	16.67742545
223	16.66164227
224	16.62799579
225	16.59442918
226	16.55689075
227	16.53363347
228	16.52309616
229	16.5094456
230	16.47342821
231	16.43713933
232	16.41013427
233	16.37213614
234	16.35605724
235	16.32275902
236	16.29092483
237	16.26658219
238	16.24934599
239	16.20165438
240	16.16842398
241	16.15294581
242	16.12439785
243	16.10638604
244	16.08251283
245	16.0403529
246	16.03117224
247	16.01953329
248	15.97713196
249	15.95605271
250	15.91323734
251	15.9074771
252	15.88190191
253	15.87500169
254	15.83724706
255	15.8237921
256	15.79817936
257	15.78528033
258	15.75525259
259	15.71904115
260	15.71211198
261	15.69466809
262	15.67509573
263	15.64913332
264	15.62831494
265	15.61693815
266	15.59734838
267	15.56897915
