Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
1,20,24.84703811902989,0.6819731114593994,23.6073430558533,0.5935033905996171
1,19,25.315235329165738,0.6731106365141661,23.65040417817729,0.5920190927264186
1,18,25.246431900189283,0.6919760015220252,23.137914690530945,0.6095089033751281
1,17,25.48039601895415,0.6830899942548385,23.67681426171075,0.5911074105579895
1,16,25.31186119014682,0.6815635566925519,23.297201881935074,0.6041139201318846
1,15,25.274286752935154,0.6918416669150165,23.320116323612268,0.6033347733684026
1,14,25.38633642456581,0.6930214300421295,23.35172598352404,0.6022587109276079
1,13,24.934790527068714,0.6931772693940083,23.013613803911028,0.6136932053622284
1,12,24.95562027074613,0.6957739824011513,23.179499175552618,0.6081040262687867
1,11,24.965855599523636,0.6961797355024082,22.74043912086937,0.6228098016500543
1,10,25.41432981838978,0.6876511017821297,22.011420483069458,0.646606265360952
1,9,25.664631853203463,0.6883553606613243,21.77978701924868,0.65400488885904
1,8,25.721267645081547,0.6833752480910901,21.97838655047513,0.6476661901281126
1,7,25.701970229730357,0.6815326407114932,21.735013473246504,0.6554259775821998
1,6,25.93488694319414,0.6733157447966918,21.082418632489855,0.6758070465695215
1,5,27.38281067611796,0.6516644803672282,23.726892988801506,0.5893758874411972
2,20,27.218834501628532,0.6248479262078205,22.899906094476123,0.8529391553215648
2,19,27.678434193211977,0.6099207108436608,23.063997146633323,0.8508240526455035
2,18,27.39892719297139,0.6087104789467913,23.138688966170108,0.8498562876317751
2,17,27.53808509602074,0.6056798466425855,22.123149392895712,0.8627464590889159
2,16,27.43337315447667,0.6167541599589319,23.533004833953242,0.8446953635596242
2,15,27.32024000709536,0.606110359796301,23.568109017550775,0.8442316821244323
2,14,27.236738499356,0.5972581027068855,22.435668680143177,0.8588412873204515
2,13,27.105620372330918,0.6187482328059586,21.980053690487804,0.8645162679946619
2,12,26.166557972897266,0.6263211740414307,21.557706637492846,0.8696728889087749
2,11,26.209167931582726,0.6284759343049829,22.571857616382864,0.8571223635204799
2,10,25.802648016458114,0.6400521627679261,22.42400467850084,0.8589880221906974
2,9,26.4038978866903,0.622065185100721,22.586759011257417,0.8569336525248314
2,8,26.8732925767634,0.6295064322172139,22.364185715504703,0.8597393544720753
2,7,27.009784261367184,0.6167958536385767,20.663777683593665,0.880257286723366
2,6,26.592726450038533,0.6378518006870078,25.173240105694024,0.8222916274533638
2,5,27.844855179117296,0.5946265435296707,24.136492818840424,0.8366278657436723
3,20,27.589885133404614,0.45399784886395345,20.737760852997617,0.8276722520293184
3,19,27.902426874317904,0.4629979626448857,21.590708538186366,0.8132049866424699
3,18,27.73180176785396,0.45425751214023685,18.956187865216002,0.8560096136485187
3,17,28.00488341808501,0.5036973411058837,19.322935281476873,0.8503841213743223
3,16,27.125019387542686,0.5129276025346771,19.75705757575353,0.8435858569324237
3,15,26.52918268749512,0.5051484257702212,19.08250260305783,0.8540842575222398
3,14,26.392278145282326,0.4805914703605755,20.87162648418713,0.8254402637995301
3,13,26.796335492957034,0.5016406964408688,19.14163730927673,0.8531785006154665
3,12,26.09566023979993,0.5123314581785152,19.939385975250296,0.8406855937595136
3,11,26.972301499231754,0.47719470930025104,20.401487061769476,0.8332157112477158
3,10,26.71866164280872,0.5053518318585578,19.26307293863048,0.8513097036960461
3,9,27.028108184728996,0.5001041304692575,18.134632035788094,0.8682201573961772
3,8,27.31236622678182,0.48398371911853666,20.590811351212118,0.8301058565784032
3,7,27.961961026749016,0.4630328990478315,21.031307915362234,0.8227590568142271
3,6,29.046361947601667,0.4098557483680022,19.434170256043014,0.8486565969982577
3,5,29.31853498693628,0.40739512995643123,19.235396217166244,0.8517366660581716
4,20,25.192415461312017,0.7129857269611487,21.998739624359445,0.7780848669793533
4,19,24.33865545738456,0.7184828331896193,22.302137064453525,0.7719215351147293
4,18,24.217212161621656,0.7293562315263318,21.974299984728333,0.7785776691418405
4,17,24.904327635238225,0.7124034879977732,22.379352108161424,0.7703394826530858
4,16,24.715680407899704,0.7329145686148342,21.586222176671466,0.7863294806822205
4,15,24.704506385407598,0.7050224322645254,20.962896303957773,0.7984912578195998
4,14,25.319211505645548,0.7151347159627469,22.01267654986969,0.7778035968310382
4,13,24.395731021817884,0.7216783734574406,21.786056176574053,0.7823550682034528
4,12,24.559682981833387,0.7179691502910697,22.00681138345218,0.7779219872740144
4,11,24.643368541854482,0.7094204498835779,21.933696244828315,0.7793951940159425
4,10,24.663795153095755,0.7028931847719326,23.114380099615783,0.7550057896054928
4,9,25.227286525942144,0.7006074292302485,21.91153262054693,0.7798408035157236
4,8,25.18269744071835,0.6945868644734969,21.09769346655017,0.7958914129861139
4,7,25.889047657132693,0.682661824977386,21.384986034455746,0.7902947698899823
4,6,27.101050742011648,0.6660487372934503,21.247140236409766,0.7929895407700651
4,5,27.427538938414664,0.6310812923854459,23.500418856898776,0.746754039935576
5,20,24.75510499591432,0.7292105608477619,19.859172709949828,0.6392301908187246
5,19,24.84862411247231,0.7254764354683831,19.392437308162805,0.6559887277094018
5,18,25.49362209620665,0.7238227967842544,19.853199469374786,0.6394471828162093
5,17,25.3752792559225,0.708776097818184,20.074279845702893,0.6313724163698662
5,16,25.56388795292908,0.7076613358363628,20.063544170043055,0.6317665931957275
5,15,24.453209413527027,0.7354531013188123,19.546023022069416,0.6505180960185798
5,14,25.202318326176147,0.7112535369916066,19.444250731456865,0.6541479881128612
5,13,25.285081890200868,0.7309254981563814,19.640691823341275,0.647124550993206
5,12,24.866086260790638,0.7355977500531932,20.69562403205524,0.608199547296641
5,11,24.414421247545235,0.7342624315493435,20.625669420934475,0.6108437706427104
5,10,24.84593220664319,0.7085756047803493,20.314704616603493,0.6224896134739665
5,9,25.360512241111895,0.6987048332883694,21.82760131066752,0.5641672049626971
5,8,25.746570656890036,0.7103231482689023,22.34943630668682,0.5430790942895158
5,7,25.918848306649625,0.6878750043260702,21.18061110902657,0.5896212598783568
5,6,26.69523587878694,0.6664585154586203,22.690571304392478,0.5290240372252621
5,5,26.855729407374298,0.6681149659256993,24.802670773282056,0.4372638975903491
